Chanel Classic Flap,Hermes Birkin,Hermes Kelly,Dior Saddle Bag,Bottega Veneta Pouch,Louis Vuitton Capucines,month
0.23529411764705882,1.0294117647058822,0.8529411764705882,0.029411764705882353,0.0,0.04,2018-01
0.23529411764705882,1.0,0.6764705882352942,0.029411764705882353,0.01,0.04,2018-02
0.23529411764705882,1.0,0.6764705882352942,0.11764705882352941,0.01,0.04,2018-03
0.23529411764705882,0.9117647058823529,0.6764705882352942,0.058823529411764705,0.0,0.05,2018-04
0.20588235294117646,1.5,0.6470588235294118,0.058823529411764705,0.01,0.04,2018-05
0.20588235294117646,1.0588235294117647,0.6470588235294118,0.08823529411764706,0.01,0.03,2018-06
0.20588235294117646,1.1176470588235294,0.6470588235294118,0.6176470588235294,0.0,0.03,2018-07
0.20588235294117646,1.0294117647058822,0.6764705882352942,0.47058823529411764,0.01,0.03,2018-08
0.17647058823529413,0.9411764705882353,0.6764705882352942,0.47058823529411764,0.0,0.04,2018-09
0.23529411764705882,1.0,0.7647058823529411,0.35294117647058826,0.0,0.04,2018-10
0.23529411764705882,0.9117647058823529,0.7352941176470589,0.29411764705882354,0.01,0.04,2018-11
0.23529411764705882,1.0294117647058822,0.7941176470588235,0.35294117647058826,0.01,0.04,2018-12
0.23529411764705882,0.9411764705882353,0.7058823529411765,0.35294117647058826,0.01,0.04,2019-01
0.23529411764705882,0.8823529411764706,0.7058823529411765,0.4411764705882353,0.01,0.04,2019-02
0.23529411764705882,1.0294117647058822,0.7352941176470589,0.47058823529411764,0.03,0.05,2019-03
0.23529411764705882,0.8529411764705882,0.7058823529411765,0.4411764705882353,0.02,0.05,2019-04
0.23529411764705882,1.1176470588235294,0.7058823529411765,0.4411764705882353,0.03,0.04,2019-05
0.23529411764705882,1.0,0.7058823529411765,0.47058823529411764,0.03,0.05,2019-06
0.20588235294117646,1.0588235294117647,0.7941176470588235,0.5,0.06,0.04,2019-07
0.23529411764705882,1.088235294117647,0.7352941176470589,0.5294117647058824,0.09,0.05,2019-08
0.23529411764705882,1.0294117647058822,0.7058823529411765,0.5882352941176471,0.15,0.04,2019-09
0.23529411764705882,1.0294117647058822,0.7058823529411765,0.5294117647058824,0.11,0.04,2019-10
0.23529411764705882,1.0588235294117647,0.7647058823529411,0.5294117647058824,0.11,0.04,2019-11
0.2647058823529412,1.2352941176470589,0.8235294117647058,0.5882352941176471,0.09,0.07,2019-12
0.23529411764705882,1.088235294117647,0.7941176470588235,0.5882352941176471,0.1,0.05,2020-01
0.23529411764705882,1.2647058823529411,0.7647058823529411,0.5882352941176471,0.13,0.04,2020-02
0.14705882352941177,0.7647058823529411,0.6470588235294118,0.47058823529411764,0.1,0.03,2020-03
0.17647058823529413,0.7941176470588235,0.5588235294117647,0.4411764705882353,0.07,0.03,2020-04
0.3235294117647059,0.9411764705882353,0.6470588235294118,0.6176470588235294,0.08,0.03,2020-05
0.23529411764705882,0.9705882352941176,0.7352941176470589,0.6764705882352942,0.08,0.04,2020-06
0.2647058823529412,1.3235294117647058,0.8823529411764706,0.7647058823529411,0.11,0.04,2020-07
0.29411764705882354,1.3529411764705883,1.5,0.7647058823529411,0.1,0.04,2020-08
0.29411764705882354,1.4705882352941178,0.7941176470588235,0.7647058823529411,0.11,0.04,2020-09
0.29411764705882354,1.5588235294117647,0.8823529411764706,0.7352941176470589,0.08,0.04,2020-10
0.23529411764705882,1.2647058823529411,0.8235294117647058,0.6764705882352942,0.08,0.04,2020-11
0.29411764705882354,1.4411764705882353,1.0588235294117647,0.7352941176470589,0.09,0.05,2020-12
0.3235294117647059,1.5,0.9411764705882353,0.7647058823529411,0.1,0.04,2021-01
0.3235294117647059,1.4411764705882353,0.8529411764705882,0.7352941176470589,0.08,0.05,2021-02
