month,bag_query,avg_resale_price,sales_volume,min_price,max_price,search_index,yt_total_views,yt_total_likes,yt_video_count,yt_avg_views,tt_total_plays,tt_total_likes,tt_video_count,tt_avg_plays,ig_total_likes,ig_total_comments,ig_post_count,ig_avg_likes
2025-11-01,Hermes Birkin,13926.032173913043,23.0,7560.0,20800.0,2.176470588235294,68000.0,1757.0,4.0,17000.0,17939200.0,1420939.0,15.0,1195946.6666666667,48782.0,521.0,5.0,9756.4
2025-12-01,Hermes Birkin,11891.743088235295,68.0,5507.44,25950.0,2.735294117647059,320770.0,13756.0,9.0,35641.11111111111,42865941.0,5013789.0,19.0,2256102.1578947366,429282.0,1504.0,13.0,33021.692307692305
2026-01-01,Hermes Birkin,13522.273461538463,78.0,5000.0,41200.0,2.323529411764706,24479.0,935.0,3.0,8159.666666666667,25884850.0,2948206.0,19.0,1362360.5263157894,65580.0,2535.0,14.0,4684.285714285715
2026-02-01,Hermes Birkin,12169.970161290323,62.0,6115.41,19800.0,1.911764705882353,21716.0,812.0,7.0,3102.285714285714,4585089.0,335287.0,25.0,183403.56,32095.0,1262.0,8.0,4011.875
2026-03-01,Hermes Birkin,,,,,,,,,,625599.0,63709.0,7.0,89371.28571428571,1051.0,151.0,35.0,30.02857142857143
2025-08-01,Hermes Kelly,5600.0,1.0,5600.0,5600.0,2.5,1914895.0,29617.0,7.0,273556.4285714286,508300.0,29022.0,4.0,127075.0,,,,
2025-09-01,Hermes Kelly,,,,,2.1176470588235294,275529.0,9782.0,8.0,34441.125,2725154.0,115003.0,8.0,340644.25,1207.0,42.0,1.0,1207.0
2025-10-01,Hermes Kelly,,,,,1.8823529411764703,146134.0,2546.0,4.0,36533.5,3164386.0,134538.0,7.0,452055.14285714284,85705.0,637.0,4.0,21426.25
2025-11-01,Hermes Kelly,8996.661228070176,114.0,4800.0,18000.0,2.0,107598.0,3666.0,5.0,21519.6,587500.0,15147.0,3.0,195833.33333333334,41086.0,1637.0,5.0,8217.2
2025-12-01,Hermes Kelly,9563.00051948052,77.0,4138.0,21800.0,2.4411764705882355,61326.0,2133.0,7.0,8760.857142857143,326200.0,14303.0,3.0,108733.33333333333,8390.0,336.0,5.0,1678.0
2026-01-01,Hermes Kelly,9672.306896551725,58.0,4405.0,24000.0,2.1470588235294117,20858.0,521.0,6.0,3476.3333333333335,390010.0,25973.0,6.0,65001.666666666664,22313.0,634.0,5.0,4462.6
2026-02-01,Hermes Kelly,10094.8765625,32.0,4059.04,33372.71,1.7352941176470589,2188.0,58.0,1.0,2188.0,1219898.0,101542.0,14.0,87135.57142857143,6569.0,102.0,5.0,1313.8
2026-03-01,Hermes Kelly,,,,,,36495.0,1257.0,2.0,18247.5,,,,,43345.0,1318.0,20.0,2167.25
2025-08-01,Louis Vuitton Capucines,,,,,0.16,188675.0,2921.0,6.0,31445.833333333332,14500.0,258.0,1.0,14500.0,,,,
2025-09-01,Louis Vuitton Capucines,,,,,0.12,8724.0,108.0,9.0,969.3333333333334,15901.0,541.0,3.0,5300.333333333333,10.0,1.0,1.0,10.0
2025-10-01,Louis Vuitton Capucines,,,,,0.14,54153.0,2254.0,4.0,13538.25,42100.0,1921.0,2.0,21050.0,789761.0,7487.0,11.0,71796.45454545454
2025-11-01,Louis Vuitton Capucines,2403.5,36.0,1500.0,3930.0,0.13,5189.0,126.0,1.0,5189.0,80187.0,6471.0,3.0,26729.0,27293.0,504.0,2.0,13646.5
2025-12-01,Louis Vuitton Capucines,4112.226470588235,51.0,1650.0,7645.0,0.14,9139.0,828.0,3.0,3046.3333333333335,11928.0,224.0,3.0,3976.0,27.0,2.0,1.0,27.0
2026-01-01,Louis Vuitton Capucines,2668.8763157894737,19.0,1545.0,6231.28,0.11,10220.0,394.0,3.0,3406.6666666666665,386471.0,22364.0,8.0,48308.875,8.0,0.0,5.0,1.6
2026-02-01,Louis Vuitton Capucines,3668.304166666667,12.0,1880.0,5736.75,0.12,3692.0,137.0,1.0,3692.0,899116.0,44734.0,31.0,29003.74193548387,32433.0,327.0,14.0,2316.6428571428573
2026-03-01,Louis Vuitton Capucines,,,,,,970.0,46.0,1.0,970.0,322.0,8.0,3.0,107.33333333333333,20.0,4.0,4.0,5.0
