bag_query,title,sold_price,sold_date,listing_url,scraped_at
Bottega Veneta Pouch,"Bottega Veneta The Pouch Black Leather Shoulder Bag Authentic with Dust Bag
Bottega Veneta Pouch,"Authenticated Bottega Veneta Medium Lambskin Intreccio Cabat Tote Black Leather
Opens in a new window or tab",2336.0,2026-01-29,https://www.ebay.com/itm/257073669889?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBE7WKBKBVDYZE7FRMSFF6&hash=item3bdac8e701%3Ag%3AZhAAAeSwjqtpWQyg&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xA7p0gjoPsyiiu3sSD6T%2Bz6sC4AIP4VDIpElzWgUPYKmL4DgDpFTqo3eawznTKobTgSgFDHkL6O7nR4hy%2Fm7FGh%2Frh0v%2FxoOmroWQazfV7TKSu%2BG2Y1qZqzITm8yewjVzS44OjWVM1ZpfJNJF9WttMY3g%2BUGmYSdkp%2BMvgm9vUdWDF5H%2Fz3bX9UIEmHKZwwmQ2mgxR9RBb4njUQPMnToGvm7x9eahUV%2Bd1E1E4RwQ0IrU1o7zTc5SELnaeZsmbYTbU%3D%7Ctkp%3ABk9SR7j-uIuXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta Black Leather Purse
Opens in a new window or tab",1000.0,2026-01-26,https://www.ebay.com/itm/334769500501?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBE7WM493HW1A2KQY07X9F&hash=item4df1d13155%3Ag%3ApecAAOSwawBj%7Equn&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCfXgo009fPtyvw3kVzEpmbJNMGtafn3vysuOr%2FxFVK4O7Ya7zu8L3fQJeUfbbPQdlqml%2FXBGI9cvfnP2DC1x9glYYKiNZo1ycdJRVx89vcaZfZKOM0O1A2DzOwH5AfLSGDxnH59RTd8pEK2OkduLvl2c7KdjeVZUPTqzUTOHKli0zfBOoVlOvwAzlcKDo5b%2BX2%2BgdcavcwSUk0apsez4qAFGVk%2Bnq35DYC6GokRgabmrTDiu34hapQz5sU%2BmjV3qkbr%2B8alQY%2FEfTCM2fG6xbHaolrtyrjJiRhwPucEMYn8Q%3D%3D%7Ctkp%3ABk9SR7r-uIuXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta Nappa Intrecciato pouch Brown ( Pre-Owned )
Opens in a new window or tab",1140.0,2026-01-22,https://www.ebay.com/itm/116909766703?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBE7WMS3QEJXGZ9THXH1P4&hash=item1b385d782f%3Ag%3A4dUAAeSwawlpL15i&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBgyl1%2BpAs%2B2CsUlJwpQEbtxa4ZganGybGPQaCG8uzu4d%2Bp%2BRwizBIAH41nomC8ka39FuyCRmg5CQFa7fhp83lZbk4b5qzxRbkK2coW93HQ4dZA0BKOLWV1TyKt7dNKCYDSZYxzoge%2FRWhhbxYVRhQ%2Bn1aDhtViQ631ARik42Y%2BLGcKuvE%2BJzn4j3hJWwU00LFPjWoGD2L3rrUAbBSlWxvCzKZgwewRXeQ60OjWEgQI%2BPOXXsSbpaZ2WDNkkFwlbCNqq6oGzKGv9qiYfJ321z8d8pCC5vZLuQUOr6Xjc60aag%3D%3D%7Ctkp%3ABk9SR7r-uIuXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta bag Andiamo Clutch
Opens in a new window or tab",1430.0,2026-01-21,https://www.ebay.com/itm/297776250294?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBE7WM3EE2GJXY0X8NYQ91&hash=item4554d8fdb6%3Ag%3A%7EAUAAeSwyixpEgwW&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBCENscILncMnBu9PIhTfqmvbQtnp88xzT%2BSec6%2Brn8dxqSRLEyfGPbBJrVEn2BN1dqF%2ByzHDYb1g%2BGuewvhp4sclyy9%2By8ceg0IvAJiFZVIgq%2Bi1rEsFu8YG8eQhRpuagHMJqizzRVPgAN2CcVEQnwphheILQiiGFMLi8aVAX5EXl7hVVj8H9MIuieLr6fc%2FdacxqjFqhFBms4PROrkfwbD%2Brga70UsagfqQTU3xSzaujwiaWQZfUloHvwgnFZ7CE%3D%7Ctkp%3ABk9SR7r-uIuXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"BOTTEGA VENETA BLACK LEATHER STRETCH KNOT CLUTCH $4800
Opens in a new window or tab",2300.0,2026-01-17,https://www.ebay.com/itm/376853719592?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBE7WN5RNW6601SVXBGNCN&hash=item57be3b6a28%3Ag%3AhyoAAeSwrMdpQyR1&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBBPcGHw0UZWhFqVQzVvNQqP5JimYg33bCzt1q3fwIkWBpovEBB9HdBqEH4Dtt8e%2BGOTe3Ubj2kyRnUSEZfWHpCBq5oGhHFDYhiJFGRj%2B0jfGKXX612OvjMHzdFCAVcWwi0ebVid9rpAMqiWiinTIsQsUEalbGXMGGV4eJzvZS1Vc0%2BfKB7KccF40VNH3B74TMO56OWiRKAze6%2Ble237ccCLYxHV5M%2B3rPHTYuQ9cSUH%2FzDHnaCzuPpTWrmq0Sb7zQprUT%2FgI53OKI0ZcBZpQR%2B1lJeJb6rrbuC8Nnh7iWhXg%3D%3D%7Ctkp%3ABk9SR7z-uIuXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta Intrecciato Cabat PM Tote Bag 45cm x 24cm Brown Leather Used
Opens in a new window or tab",1080.34,2026-01-17,https://www.ebay.com/itm/376860689469?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBE7WN0XZZ550KH3RK3ZAC&hash=item57bea5c43d%3Ag%3AtgMAAeSwJr1pZgAR&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xD5VkmXOTj2Rmh4yEtQHNJ7Rx2j2PEIJ8Ome0e%2FnqpnkKWWkq7OkBMREbQsTm9j0HqPchXHCAfaI45LAaNFtOYBy6KTs%2B%2Bes9uDIWFh9ji1KBns1aJFLHAQlhGBZQFxArwWjojatVG9IbJqU4DSRXK5XWqStQEV8H8Z%2Btso7NKahpbQoKVe5D4gnvLpY6j%2BDcKpb9zRBLGqLQSyvXlvzcGQK7nTbnxUMqRK0913z%2BHwLhXBpjjFagMiMppxxXsU5JA%3D%7Ctkp%3ABk9SR7z-uIuXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta 2023 Andiamo Bag – Woven Lambskin Leather- Shoulder bag white
Opens in a new window or tab",1100.0,2026-01-14,https://www.ebay.com/itm/397364396615?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBE7WND661WB4AW9M5W9PF&hash=item5c84c38247%3Ag%3AIowAAeSw58JpNLpS&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBdSL%2FbCkF6USTTJTb9Gu8a5Sp%2F2fk76WFLpYguA8JUB9PBkA5Zxh85aP67AqVzquY1nns31aFv%2FtIOkOP4piEXVa%2B6B40PdqMfMYlX25hJ8j1KxWsDx14yLxk2b1hHBG6XG84zza1RAvGGZPPVYycrp%2Fr3dMc8B%2BU5KE2GunolFl85ZSy%2BDpKhOegmlfsWcO4MXY32sAJuS0bW%2Bc9xFR8JOb4RMM6HZ8dfnWdxEWzebmASicQCLfxCRo7FUne0T%2BcboJDS8y5qB4UD57%2Be5I31fvURO%2BQ6EocQ6ooQPfo%2Fzg%3D%3D%7Ctkp%3ABk9SR77-uIuXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"BOTTEGA VENETA Leather Chain Pouch Shoulder Bag
Opens in a new window or tab",1200.0,2026-01-12,https://www.ebay.com/itm/305481567217?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBE7WPAVWK60R7T7KH08PJ&hash=item47201ecbf1%3Ag%3Ax2oAAOSwmkhmBxqd&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAOH%2Fs3Fn9nqFIvpIb0PmPWTN%2F9tE%2F%2BIsKffi7P9LcAXdbD42UI2YGyFPiytOmGV7OhH667YcxSJETh5R17A2Cwgd2AZH7X2CKjNiq59b2Ovnj61tSMb07Hp2j7zboPmMJL2McsH6QJ5td69PnFkm7HxQ5cRH7fwQvIfuPDt5axagdnkHb3sywcuCTjRzWp306O6E8u93OuEzdI8mvxcmL0R69MiUKXnB9EXxLFIr4fejffAEbnFgGtP3xxH7R%2FiuZyIzzeyfneKj9bxWN96JWsoZ0kMtB5c4dIb6Q3nm5WBA%3D%3D%7Ctkp%3ABk9SR77-uIuXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"BOTTEGA VENETA $3500 Burgundy Andiamo Top Handle Clutch
Opens in a new window or tab",2625.0,2026-01-10,https://www.ebay.com/itm/286980430942?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBEJWVNTVRE2BZMQTK747Q&hash=item42d15ddc5e%3Ag%3AZDgAAeSw74xpLIgm&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xATbDJ8nknzZslwu5%2FhSM3aou%2Bipdx5CWtHtci6BzMJheitF5D9WE7yBP08rw5XjWc7efRxbADfbHpICC%2BwJhz9h7yOhv898qjanynHHcG%2Fb5C5cVXyl29I5rU5E0yCVZrSGigtlUW4e6u18OgJPpvDJ28GQ6od9Q61QnPD2VBcxnV0tRs0FZvZruks2mbaKmoY1HxkT2p2%2Fcu03r%2B3y6aZ77LvFKZX%2Bh8nevOHwciAGNIbvwI8aqcOpNTw6KoSgoQ%3D%7Ctkp%3ABk9SR8quuouXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta The Mini Pouch 100% Authentic With Dust Bag Excellent Condition
Opens in a new window or tab",1390.0,2026-01-10,https://www.ebay.com/itm/297604106211?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBEJWVY8596Q9DSA51ABM0&hash=item454a9647e3%3Ag%3A9M4AAeSwsNpowt-l&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xD5vxLdorqd5fFgnBE0TI5bhMqZyEqCAQQE6PGkjj2%2FwBbtQ41Hu9%2F1nsOF1ccrgYZ%2BsPk2%2FaWUTIVb5YtQ7PqYGIuxdQ5zyyDULYYzdI72oE4nbn3CN0uxBPhdrP5QvUcCGEABO%2BBOmIjMJF7VIA0iu0MCGDq0lHKrWdMqfPIi%2FPqoW7IVaDeXQixg5RAQ41fKi%2F%2Bihfxr6%2BIUu%2Fo5cROoXBdyV8PU3ns%2FBT%2BTJNJz5%2BpYFFWDit%2BYv6tik0d4eMM%3D%7Ctkp%3ABk9SR8quuouXZw&LH_ItemCondition=3000,2026-03-04
